Item_9516_StoryDesc|时间流转，对星球初生之时的记忆，萝坦已经不大记得清了。
Item_9953_StoryDesc|繁衍吧，繁衍吧。让流淌着母树鲜血的灵魂遍及世界。
Item_9727_StoryDesc|重复获得奥尔拉时转换获得，用于激活奥尔拉的启灵。
Item_9519_StoryDesc|传说中最初的魔像创造者，以双手杀死魔像。
Item_69885_Desc|精致细密的人偶部件，闪烁着科技和疯狂的光芒。
Item_89988_Desc|获得幻衣「旋舞人偶」后解锁。
Item_46765_Desc|「人类，放下你手中的生牛排——现在它是我的了。」
Item_77865_StoryDesc|重复获得皮克曼时转换获得，用于激活皮克曼的启灵。
Item_119952_StoryDesc|万千思念化作流星，奔赴向你们再一次的相逢。
Item_54132_Desc|「喂，守密人，你看到了吗？它好像在赞美你……」
Item_9662_StoryDesc|繁衍吧，繁衍吧。让流淌着母树鲜血的灵魂遍及世界。
Item_122106_Desc|可以在探索中免费购买一次商品的功能型命轮。
Item_54123_Desc|「无边的黑暗中，可怖的地狱犬正在注视着你……」
Item_9968_StoryDesc|繁衍吧，繁衍吧。让流淌着母树鲜血的灵魂遍及世界。
Item_9724_StoryDesc|繁衍吧，繁衍吧。让流淌着母树鲜血的灵魂遍及世界。
Item_99163_Desc|投入此水，告别人间。
Item_72912_Desc|「今天炖的蘑菇汤真不错，咦，蘑菇怎么在天上飞……」
Item_72897_Desc|「如果你说没有什么东西是完美的，请看看我们的主。」
Item_9614_StoryDesc|重复获得旺达时转换获得，用于激活旺达的启灵。
Item_9659_StoryDesc|传说中最初的魔像创造者，以双手杀死魔像。
Item_73466_Desc|为了来自异世界的友谊，以及万象酒馆的诸位，干杯！
Item_77868_StoryDesc|重复获得秃鹫时转换获得，用于激活秃鹫的启灵。
Item_120471_Desc|为您奉上纯洁的躯壳。
Item_123557_Desc|「今夜，我们将馔饮姜饼和枫糖，来共庆这伟大派对！」
Item_55129_Desc|大火熄灭了，满地的余烬落在，曾开满玫瑰的地方。
Item_10051_StoryDesc|传说中最初的魔像创造者，以双手杀死魔像。
Item_73582_StoryDesc|一束放置太久而枯萎干涸的花。
Item_125187_StoryDesc|重复获得徐时转换获得，用于激活徐的启灵。
Item_9750_StoryDesc|重复获得艾瑞卡时转换获得，用于激活艾瑞卡的启灵。
Item_9923_StoryDesc|繁衍吧，繁衍吧。让流淌着母树鲜血的灵魂遍及世界。
Item_97028_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_84260_Desc|解锁后，完成「时绁纪行」全部任务可额外获得以下奖励
Item_97043_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_96990_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_59776_Desc|解锁后，完成「迎灾特训」全部任务可额外获得以下奖励
Item_96616_Desc|解锁后，完成「几度枫红」全部任务可额外获得以下奖励
Item_96998_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_96994_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_123321_Desc|解锁后，完成「银霜纪行」全部任务可额外获得以下奖励
Item_120534_Desc|解锁后，完成「晨星的指引」全部任务可额外获得以下奖励
Item_97046_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_84259_Desc|解锁后，完成「复律纪行」全部任务可额外获得以下奖励
Item_59765_Desc|解锁后，完成「终焉纪行」全部任务可额外获得以下奖励
Item_97055_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_76216_Desc|解锁后，完成「异世纪行」全部任务可额外获得以下奖励
Item_97040_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_94784_Desc|解锁后，完成「夏日纪行」全部任务可额外获得以下奖励
Item_97026_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97048_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97050_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97047_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_127025_Desc|「真正的战士不会后退……但这也……太多了吧……」
Item_59789_Desc|解锁后，完成「雾都纪行」全部任务可额外获得以下奖励
Item_76215_Desc|解锁后，完成「降临纪行」全部任务可额外获得以下奖励
Item_123561_Desc|「干什么，你怎么敢用这种不敬的表情看着本神母？！」
Item_97027_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_80285_Desc|解锁后，完成「疗养纪行」全部任务可额外获得以下奖励
Item_96997_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97024_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_96995_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97017_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97949_Desc|解锁后，完成「假日纪行」全部任务可额外获得以下奖励
Item_123558_Desc|「冬渡节快乐，恩人。啊……帽子压到羽毛了」
Item_59763_Desc|解锁后，完成「远洋纪行」全部任务可额外获得以下奖励
Item_97018_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97012_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97001_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_120490_Desc|解锁后，完成「轮回纪行」全部任务可额外获得以下奖励
Item_97020_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97041_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_116764_Desc|解锁后，完成「铭刻的启程」全部任务可额外获得以下奖励
Item_97391_Desc|「我的手艺只能做些简单的菜式，啊，您喜欢就最好了。」
Item_91354_Desc|解锁后，完成「亡城纪行」全部任务可额外获得以下奖励
Item_97004_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_96988_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_126361_Desc|解锁后，完成「临时文本」全部任务可额外获得以下奖励
Item_97006_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97000_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_131368_Desc|解锁后，完成「幸运赢家」全部任务可额外获得以下奖励
Item_97025_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_127043_Desc|「这朵玫瑰赠与您，能否邀请您与我共舞呢？」
Item_121027_Desc|解锁后，完成「金羊狂舞」全部任务可额外获得以下奖励
Item_97054_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97206_Desc|解锁后，完成「葬骸纪行」全部任务可额外获得以下奖励
Item_97035_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_127070_Desc|「让我看看你心里……嗯？文字居然可以这样排列？」
Item_97005_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97016_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97356_Desc|「哦，如此渺小的、可鄙的我，也能对您表达爱意吗？」
Item_59762_Desc|解锁后，完成「雪镇纪行」全部任务可额外获得以下奖励
Item_97030_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_96999_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_96987_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97032_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97051_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97013_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97022_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97008_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97009_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97042_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_96991_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97029_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_96992_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97039_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97036_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97053_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97031_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97038_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97021_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_96996_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97037_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97019_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_96986_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97044_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_96993_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97010_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97007_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97003_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97002_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_97034_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97056_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97023_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97015_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97052_Desc|皮克曼大量购置的颜料，用幻梦点缀画布。
Item_96989_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97011_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97033_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_96985_Desc|皮克曼大量购置的颜料，让色彩回归本真。
Item_97049_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97045_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_97014_Desc|皮克曼大量购置的颜料，以癫狂涂写灵魂。
Item_9555_Desc|是的，万物皆可淬制。你的本能、你的理智，甚至你的心……到头来你会发现，你和他们其实也没什么不同。
Item_9639_Desc|是的，万物皆可淬制。你的本能、你的理智，甚至你的心……到头来你会发现，你和他们其实也没什么不同。
Item_49466_Desc|「秘密一定就在地下，在母树根系覆盖的最深处……那里绝对藏着什么不可告人的……」
Item_55919_Desc|从母树上取下的形似婴儿的树瘤，能够感受到其中生命诞生般的活力，仔细听，那是新生的啼哭。
Item_9773_Desc|液态是它的表象，它是万物的基石，是一切的构成。
Item_56493_Desc|散逸在艾尔沃斯雪山中的情绪粒子。触碰时仿佛听见了野兽的撕咬与吞咽声。用于提升守密人在调查事件「艾尔沃斯的归人」中的共鸣。
Item_9622_Desc|是的，万物皆可淬制。你的本能、你的理智，甚至你的心……到头来你会发现，你和他们其实也没什么不同。
Item_52304_Desc|「限定每周一次，过量供应可能会对健康造成不良影响，我们必须对你的安全负责哦。」
Item_129499_StoryDesc|岁岁年年花相似，年年岁岁盼团圆。
Item_72917_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_78774_Desc|能够大幅增加持有者造成的银钥能量、狂气爆发造成的伤害与护盾。伴随触腕姿态的切换，能够获取大量狂气并增幅敌方承受的伤害。
Item_51852_Desc|用于「剧院猫」密契转录时锁定一个副属性，也可以在材料置换中置换为「千面印章」。
Item_97413_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_9866_Desc|是的，万物皆可淬制。你的本能、你的理智，甚至你的心……到头来你会发现，你和他们其实也没什么不同。
Item_97394_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_123638_Desc|孩子们在银霜夜前夕准备的祈愿箱，上面贴有写着想要的礼物的字条。
Item_130548_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_44948_Desc|用于在「义卖现场」中进行交换的道具。
Item_44936_Desc|用于在「义卖现场」中进行交换的道具。
Item_34832_Desc|在活动「故事的魔法」中完成成就获得。
Item_44947_Desc|用于在「义卖现场」中进行交换的道具。
Item_10002_Desc|是的，万物皆可淬制。你的本能、你的理智，甚至你的心……到头来你会发现，你和他们其实也没什么不同。
Item_51850_Desc|用于「再衍化」密契转录时锁定一个副属性，也可以在材料置换中置换为「千面印章」。
Item_94559_StoryDesc|这里是弥萨格曾允诺战士们的应许之地，那罐子中储着蜜，那柜子中藏着肉。
Item_44946_Desc|用于在「义卖现场」中进行交换的道具。
Item_70919_StoryDesc|他选择了那顶王冠，那顶王冠亦选择了他。
Item_9792_Desc|液态是它的表象，它是万物的基石，是一切的构成。
Item_9510_Desc|是的，万物皆可淬制。你的本能、你的理智，甚至你的心……到头来你会发现，你和他们其实也没什么不同。
Item_51858_Desc|用于「诅咒兔」密契转录时锁定一个副属性，也可以在材料置换中置换为「千面印章」。
Item_9892_Desc|「我们提供以物易物和收购头颅的服务，价格绝对公道，童叟无欺。」
Item_51848_Desc|用于「海归线」密契转录时锁定一个副属性，也可以在材料置换中置换为「千面印章」。
Item_9823_Desc|是的，万物皆可淬制。你的本能、你的理智，甚至你的心……到头来你会发现，你和他们其实也没什么不同。
Item_45300_Desc|记录此钥令后，可在编队时选择钥令技能:「海之祭」。
Item_55916_Desc|接受女王的考验，展示你的忠诚吧，你只需要服从。
Item_99221_Desc|用于「腐殖质」密契转录时锁定一个副属性，也可以在材料置换中置换为「千面印章」。
Item_9527_Desc|是的，万物皆可淬制。你的本能、你的理智，甚至你的心……到头来你会发现，你和他们其实也没什么不同。
Item_99724_StoryDesc|他终于找回了一切记忆与力量，却是以想要守护的所有为代价。
Item_97366_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_120955_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_120962_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_10032_Desc|记录此钥令后，可在编队时选择钥令技能:「永世执念」。
Item_9935_Desc|是的，万物皆可淬制。你的本能、你的理智，甚至你的心……到头来你会发现，你和他们其实也没什么不同。
Item_55918_Desc|从母树上取下的形似少女的树瘤，能够感受到其中纤细而柔和的活力，仔细听，那是青涩的邀请。
Item_36861_StoryDesc|微风扬起她的长发，灰雾之海的倒影在刹那间浮现，然后消弭于无形，在你面前的仍是优雅从容的她。但你知道，那不是你的幻觉。
Item_45298_Desc|记录此钥令后，可在编队时选择钥令技能:「春天的献诗」。
Item_55902_Desc|你看见无数的宇宙中有无数的人们，他们都和你有关。
Item_99218_Desc|用于「飞升」密契转录时锁定一个副属性，也可以在材料置换中置换为「千面印章」。
Item_55901_Desc|虚幻的门扉向你而来，无数个宇宙破碎又重启。
Item_9674_Desc|她是戴罪者的恐惧与渴望，是垂死者的甘霖与毒酒，带来甜蜜的痛苦与浪漫的疯狂。
Item_9603_Desc|世界遗忘了她的名字，于是那如百合般绽放的白色纤影，被仓促命名为「Lily」。
Item_36018_Desc|在活动「群星正位」中完成成就获得。
Item_127059_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_10017_Desc|液态是它的表象，它是万物的基石，是一切的构成。
Item_123639_Desc|只在冬渡节清晨出现的特殊礼物盒，被开启后会迅速消失，因此鲜有人知晓这个秘密。
Item_69853_Desc|在艾尔沃斯山顶新生的洁白花朵的种子，冰与雪作它的枝与叶，严寒也不能催折它的芬芳。
Item_36860_StoryDesc|雍容的玫瑰斩获了她的完全胜利。
Item_54477_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_55917_Desc|从母树上取下的形似孕妇的树瘤，能够感受到其中孕育般蓬勃而无穷的活力，仔细听，那是母亲的呼唤。
Item_81756_StoryDesc|燃烧，燃烧，燃烧。
Item_9624_Desc|高傲、任性、自我中心……许多与她接触过的人，都会对她的个性留下如此评价。
Item_10084_Desc|是的，万物皆可淬制。你的本能、你的理智，甚至你的心……到头来你会发现，你和他们其实也没什么不同。
Item_51862_Desc|用于「荒原狼」密契转录时锁定一个副属性，也可以在材料置换中置换为「千面印章」。
Item_44933_Desc|用于在「义卖现场」中进行交换的道具。
Item_44935_Desc|用于在「义卖现场」中进行交换的道具。
Item_44953_Desc|用于在「义卖现场」中进行交换的道具。
Item_39395_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39454_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39421_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39388_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39399_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39456_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39427_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39432_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39397_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39461_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39446_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39437_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39442_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39422_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39392_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39410_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39382_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39412_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39389_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39452_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39440_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39441_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_39439_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
